step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
43.0,CASH_IN,452411.14,C742652569,208505.0,660916.14,C2086663478,740.17,0.0,0.0,0.0
36.0,CASH_OUT,121610.77,C1135114176,158438.02,36827.25,C2039019219,1961461.25,2083072.02,0.0,0.0
259.0,CASH_OUT,302345.43,C554451881,0.0,0.0,C1579034721,407466.79,709812.22,0.0,0.0
10.0,CASH_OUT,36845.81,C508496682,362665.26,325819.45,C1646362974,226578.99,41643.63,0.0,0.0
404.0,PAYMENT,506.45,C676314262,70388.0,69881.55,M303945382,0.0,0.0,0.0,0.0
252.0,PAYMENT,27970.05,C765751443,315671.09,287701.04,M371588139,0.0,0.0,0.0,0.0
164.0,TRANSFER,177680.54,C485323920,177680.54,0.0,C1780714769,0.0,0.0,1.0,0.0
614.0,TRANSFER,2739248.3,C1131884196,2739248.3,0.0,C97856418,0.0,0.0,1.0,0.0
409.0,TRANSFER,3260215.75,C1523193770,3260215.75,0.0,C670256021,0.0,0.0,1.0,0.0
493.0,PAYMENT,30470.0,C1824193745,60425.0,29955.0,M1405920621,0.0,0.0,0.0,0.0
207.0,CASH_OUT,89312.67,C453511165,0.0,0.0,C600719801,199189.72,288502.4,0.0,0.0
324.0,PAYMENT,248.52,C1508485430,0.0,0.0,M224599180,0.0,0.0,0.0,0.0
120.0,PAYMENT,40916.16,C18782950,0.0,0.0,M590726265,0.0,0.0,0.0,0.0
332.0,CASH_IN,39246.62,C2030421316,13922.0,53168.62,C56780705,0.0,0.0,0.0,0.0
332.0,PAYMENT,16013.62,C94012240,107.0,0.0,M835537109,0.0,0.0,0.0,0.0
157.0,CASH_IN,51628.53,C1411382292,49632.0,101260.53,C940066500,0.0,0.0,0.0,0.0
298.0,CASH_OUT,167927.62,C1391839512,114.0,0.0,C1423457266,0.0,167927.62,0.0,0.0
407.0,PAYMENT,6398.55,C1645530045,0.0,0.0,M1697503853,0.0,0.0,0.0,0.0
396.0,CASH_OUT,84975.61,C657933204,576499.0,491523.39,C1229161390,90812.2,0.0,0.0,0.0
65.0,TRANSFER,446032.95,C1116093088,446032.95,0.0,C506992553,0.0,0.0,1.0,0.0
203.0,CASH_OUT,118735.46,C727728676,0.0,0.0,C122513330,760599.56,879335.01,0.0,0.0
211.0,CASH_IN,17866.34,C1566416434,6255841.05,6273707.4,C589288535,917725.88,899859.54,0.0,0.0
517.0,TRANSFER,4993938.87,C86350927,4993938.87,0.0,C1577873680,0.0,0.0,1.0,0.0
579.0,TRANSFER,3085336.66,C162812306,3085336.66,0.0,C2127407367,0.0,0.0,1.0,0.0
354.0,CASH_OUT,24941.35,C947399635,194976.0,170034.65,C681505304,7430418.29,7455359.65,0.0,0.0
394.0,CASH_OUT,34133.22,C1934336160,0.0,0.0,C1586482202,433581.29,467714.52,0.0,0.0
23.0,PAYMENT,236.85,C1571337628,11142.0,10905.15,M663374045,0.0,0.0,0.0,0.0
272.0,TRANSFER,177022.52,C892131822,177022.52,0.0,C844865785,0.0,0.0,1.0,0.0
686.0,CASH_OUT,134227.05,C814528974,134227.05,0.0,C1989640257,2789107.98,2923335.03,1.0,0.0
236.0,CASH_IN,48365.36,C2086042327,53156.0,101521.36,C1827779186,51932.21,3566.85,0.0,0.0
202.0,CASH_OUT,22486.28,C1876984424,71650.0,49163.72,C1061293152,0.0,22486.28,0.0,0.0
334.0,PAYMENT,156.6,C1908873464,0.0,0.0,M1431374038,0.0,0.0,0.0,0.0
378.0,CASH_OUT,201744.46,C886067284,0.0,0.0,C36295353,1687032.92,1888777.39,0.0,0.0
225.0,CASH_OUT,235075.62,C535424820,235075.62,0.0,C1979812684,436894.35,310170.72,1.0,0.0
675.0,CASH_OUT,2772043.9,C1162550194,2772043.9,0.0,C27397338,2985997.42,5758041.32,1.0,0.0
308.0,CASH_OUT,40450.07,C1241866037,0.0,0.0,C9137345,45800.05,86250.12,0.0,0.0
350.0,CASH_IN,28450.85,C260177786,25096.0,53546.85,C694953617,680028.2,651577.35,0.0,0.0
42.0,CASH_OUT,173851.7,C404844692,49743.0,0.0,C627421335,1508912.49,1682764.19,0.0,0.0
322.0,CASH_IN,100262.46,C1941744129,957738.0,1058000.46,C1785235038,7843643.32,7743380.86,0.0,0.0
699.0,TRANSFER,257643.59,C309297026,257643.59,0.0,C2081259491,0.0,0.0,1.0,0.0
133.0,CASH_OUT,83470.83,C819529743,0.0,0.0,C1321297129,355618.07,347062.57,0.0,0.0
354.0,CASH_OUT,461186.67,C741942444,0.0,0.0,C1053392239,3262186.33,3723373.0,0.0,0.0
644.0,CASH_OUT,228751.77,C896934166,228751.77,0.0,C1065611861,702234.36,930986.13,1.0,0.0
614.0,PAYMENT,6908.26,C49128674,0.0,0.0,M794499783,0.0,0.0,0.0,0.0
406.0,CASH_OUT,40013.19,C1200853822,40013.19,0.0,C1373765456,0.0,40013.19,1.0,0.0
590.0,CASH_OUT,179725.06,C1927794445,179725.06,0.0,C2023155598,131709.81,311434.88,1.0,0.0
130.0,CASH_IN,94770.34,C490838050,16430.0,111200.34,C113009831,883888.78,789118.44,0.0,0.0
42.0,TRANSFER,257938.86,C109084069,0.0,0.0,C919902821,2315034.73,2572973.6,0.0,0.0
379.0,PAYMENT,6842.44,C330245590,0.0,0.0,M1462947204,0.0,0.0,0.0,0.0
301.0,CASH_OUT,74198.76,C1869724498,0.0,0.0,C85400202,692306.91,766505.67,0.0,0.0
252.0,PAYMENT,25567.46,C1742585080,5361.7,0.0,M1893868086,0.0,0.0,0.0,0.0
373.0,CASH_IN,20004.9,C943969985,21682.0,41686.9,C1460797758,560549.63,540544.73,0.0,0.0
7.0,PAYMENT,13846.11,C1717705015,11251.0,0.0,M1431817332,0.0,0.0,0.0,0.0
544.0,CASH_OUT,412668.39,C84071102,412668.39,0.0,C1576697216,1445047.47,1857715.86,1.0,0.0
87.0,CASH_OUT,114339.1,C183849466,114339.1,0.0,C1798936808,41413.23,155752.33,1.0,0.0
394.0,CASH_OUT,248493.52,C52915663,5042.0,0.0,C1564703471,0.0,248493.52,0.0,0.0
329.0,CASH_OUT,211191.78,C563441223,0.0,0.0,C1721078010,2249314.89,2460506.67,0.0,0.0
345.0,CASH_OUT,132973.41,C1183132774,132973.41,0.0,C1388012152,0.0,132973.41,1.0,0.0
131.0,PAYMENT,2986.37,C880676179,0.0,0.0,M863504463,0.0,0.0,0.0,0.0
323.0,TRANSFER,169767.58,C491387806,0.0,0.0,C735019712,1011273.84,1181041.42,0.0,0.0
376.0,CASH_OUT,4330.78,C2111038330,1024.0,0.0,C704014633,186558.21,190888.99,0.0,0.0
231.0,TRANSFER,56711.23,C1870646597,57187.0,475.77,C88386120,0.0,56711.23,0.0,0.0
286.0,CASH_OUT,142401.93,C1786347943,0.0,0.0,C1184758872,2057932.26,2200334.2,0.0,0.0
279.0,CASH_OUT,91120.26,C1764046313,0.0,0.0,C1072611362,617935.14,709055.39,0.0,0.0
115.0,TRANSFER,1844357.26,C1543576546,1844357.26,0.0,C1140609516,0.0,0.0,1.0,0.0
187.0,CASH_IN,196234.57,C532535560,21791.0,218025.57,C1584461436,650891.8,454657.23,0.0,0.0
306.0,CASH_OUT,194642.97,C2118104341,26339.0,0.0,C1295798376,7906.4,202549.37,0.0,0.0
160.0,CASH_IN,70645.34,C52476577,1055.0,71700.34,C993004440,198616.91,127971.58,0.0,0.0
228.0,CASH_OUT,1323909.85,C1370685766,1323909.85,0.0,C1312657483,1010731.91,2334641.76,1.0,0.0
260.0,CASH_IN,315959.58,C16217830,41623.0,357582.58,C1972474838,1013032.76,697073.18,0.0,0.0
303.0,CASH_OUT,96673.05,C2100481802,45453.0,0.0,C1306836500,720025.61,816698.66,0.0,0.0
323.0,PAYMENT,39581.78,C466197579,322487.52,282905.74,M738872115,0.0,0.0,0.0,0.0
469.0,PAYMENT,3352.37,C1795188644,20111.0,16758.63,M135960868,0.0,0.0,0.0,0.0
354.0,CASH_OUT,375419.35,C273275190,375419.35,0.0,C997789760,269939.49,645358.83,1.0,0.0
332.0,TRANSFER,19226.25,C56751982,19226.25,0.0,C2138523923,0.0,0.0,1.0,0.0
204.0,TRANSFER,29350.85,C1201818810,0.0,0.0,C966741385,1996139.04,2025489.89,0.0,0.0
228.0,CASH_OUT,217425.38,C123589162,0.0,0.0,C1024330791,913565.2,1130990.58,0.0,0.0
199.0,CASH_OUT,295054.68,C1250562537,295054.68,0.0,C728515752,0.0,295054.68,1.0,0.0
255.0,CASH_IN,166258.17,C1590184257,3053281.43,3219539.6,C159940491,198876.7,32618.53,0.0,0.0
403.0,PAYMENT,40968.63,C83129725,91645.75,50677.12,M485430779,0.0,0.0,0.0,0.0
202.0,CASH_IN,274893.3,C244550714,22291.0,297184.3,C329491489,4777.07,0.0,0.0,0.0
197.0,CASH_OUT,1961426.59,C1699077947,1961426.59,0.0,C1396064859,1329.34,1962755.93,1.0,0.0
486.0,CASH_OUT,4505012.56,C1075946907,4505012.56,0.0,C1978376659,0.0,4505012.56,1.0,0.0
324.0,CASH_IN,438757.99,C1166134057,39656.0,478413.99,C1701878590,0.0,0.0,0.0,0.0
236.0,CASH_IN,166226.57,C1604102659,6405014.18,6571240.75,C1575396647,743824.8,577598.23,0.0,0.0
142.0,PAYMENT,1302.55,C1145820753,164254.0,162951.45,M976978776,0.0,0.0,0.0,0.0
38.0,PAYMENT,4347.59,C1027915401,610.0,0.0,M1235869070,0.0,0.0,0.0,0.0
255.0,CASH_IN,171271.88,C473883752,10619265.88,10790537.76,C1605504657,7509736.44,7338464.56,0.0,0.0
134.0,CASH_OUT,218970.6,C156034407,0.0,0.0,C200123041,985842.89,1204813.48,0.0,0.0
236.0,PAYMENT,511.1,C706761663,515089.79,514578.69,M329456353,0.0,0.0,0.0,0.0
525.0,PAYMENT,18704.6,C267175603,19906.0,1201.4,M2063145831,0.0,0.0,0.0,0.0
20.0,CASH_IN,96469.65,C1409004651,413346.0,509815.65,C785062425,357825.69,261356.05,0.0,0.0
298.0,TRANSFER,1997606.59,C996766960,585.0,0.0,C1400620106,0.0,1997606.59,0.0,0.0
236.0,CASH_OUT,97772.92,C488186651,211324.0,113551.08,C1064210939,71982.59,169755.5,0.0,0.0
305.0,CASH_IN,15686.79,C833909584,15717.0,31403.79,C518247109,22362.84,6676.05,0.0,0.0
21.0,PAYMENT,1995.03,C1425006249,103105.0,101109.97,M1746866610,0.0,0.0,0.0,0.0
424.0,TRANSFER,2772748.37,C366210516,2772748.37,0.0,C1877132706,0.0,0.0,1.0,0.0
373.0,CASH_OUT,144917.37,C1822895485,26251.0,0.0,C298542307,482286.89,627204.27,0.0,0.0
596.0,CASH_OUT,381247.3,C611134778,381247.3,0.0,C686935058,392496.79,773744.09,1.0,0.0
275.0,TRANSFER,21323.28,C498498940,21323.28,0.0,C490070900,0.0,0.0,1.0,0.0
25.0,CASH_IN,631046.25,C974757168,483254.53,1114300.78,C41519140,4857523.43,4226477.17,0.0,0.0
395.0,CASH_IN,402682.83,C1319825843,1143.0,403825.83,C95367377,1124650.71,721967.87,0.0,0.0
632.0,TRANSFER,52541.42,C174237554,52541.42,0.0,C974759486,0.0,0.0,1.0,0.0
383.0,PAYMENT,8182.01,C2132647221,34285.0,26102.99,M871790362,0.0,0.0,0.0,0.0
373.0,PAYMENT,11007.5,C1785080523,46593.0,35585.5,M852412548,0.0,0.0,0.0,0.0
314.0,CASH_OUT,158493.03,C291208630,0.0,0.0,C1902909972,936828.56,1095321.6,0.0,0.0
154.0,CASH_OUT,2600.2,C137158499,0.0,0.0,C584026670,103619.01,106219.21,0.0,0.0
654.0,TRANSFER,1290224.84,C296753895,1290224.84,0.0,C254269192,0.0,0.0,1.0,0.0
166.0,CASH_OUT,275398.38,C2139394204,292751.83,17353.45,C766844673,1078762.91,1354161.29,0.0,0.0
20.0,CASH_OUT,31520.51,C306859751,53181.0,21660.49,C893193802,17217.38,48737.89,0.0,0.0
161.0,TRANSFER,333606.41,C1373361075,1084.0,0.0,C1244602049,1021267.55,1354873.96,0.0,0.0
141.0,CASH_OUT,269274.04,C431992993,0.0,0.0,C105087511,279240.83,548514.87,0.0,0.0
173.0,TRANSFER,98634.75,C1042347270,98634.75,0.0,C1491818323,0.0,0.0,1.0,0.0
208.0,CASH_IN,222458.64,C544105389,12199.0,234657.64,C804617812,0.0,0.0,0.0,0.0
331.0,CASH_IN,184193.05,C570188897,7377914.51,7562107.56,C1295228456,324370.47,140177.42,0.0,0.0
186.0,PAYMENT,33800.74,C1348942791,4349.0,0.0,M1233157787,0.0,0.0,0.0,0.0
649.0,CASH_OUT,733119.42,C1931992336,733119.42,0.0,C2013008658,2751163.93,3484283.35,1.0,0.0
102.0,TRANSFER,656118.37,C203547819,656118.37,0.0,C1137673642,0.0,0.0,1.0,0.0
332.0,CASH_IN,438401.51,C2037458524,7947520.22,8385921.74,C163187759,574232.91,135831.4,0.0,0.0
480.0,CASH_OUT,146743.13,C705070035,146743.13,0.0,C1831159717,140211.84,286954.97,1.0,0.0
232.0,CASH_IN,34258.44,C1762096119,19666003.73,19700262.17,C1012554183,976608.03,942349.59,0.0,0.0
153.0,CASH_OUT,184222.59,C1903379747,24944.0,0.0,C1554678955,5696.09,189918.69,0.0,0.0
310.0,CASH_IN,586226.1,C64595849,3874708.78,4460934.88,C1253398577,997183.64,410957.54,0.0,0.0
356.0,PAYMENT,15107.14,C1595359349,0.0,0.0,M768113612,0.0,0.0,0.0,0.0
134.0,CASH_OUT,81253.38,C1581184140,0.0,0.0,C519274446,4167852.5,4249105.88,0.0,0.0
177.0,TRANSFER,452804.42,C1206970364,452804.42,0.0,C218347710,0.0,0.0,1.0,0.0
95.0,PAYMENT,290.24,C144024240,3657.0,3366.76,M1459856987,0.0,0.0,0.0,0.0
322.0,CASH_OUT,198144.25,C891691530,0.0,0.0,C2082117656,1212325.33,1410469.58,0.0,0.0
56.0,TRANSFER,530733.43,C176579882,530733.43,0.0,C1049193275,0.0,0.0,1.0,0.0
306.0,PAYMENT,12566.83,C690915639,0.0,0.0,M868411906,0.0,0.0,0.0,0.0
157.0,CASH_OUT,813775.73,C122285117,813775.73,0.0,C1520619561,0.0,813775.73,1.0,0.0
36.0,TRANSFER,1684039.12,C397247453,1684039.12,0.0,C227472046,0.0,0.0,1.0,0.0
401.0,TRANSFER,19511.35,C512661287,19511.35,0.0,C1354396836,0.0,0.0,1.0,0.0
153.0,CASH_IN,85969.19,C1593971435,49973.84,135943.03,C1613381380,2131369.95,2045400.76,0.0,0.0
307.0,PAYMENT,35880.58,C1034283292,437193.84,401313.27,M1067636767,0.0,0.0,0.0,0.0
133.0,CASH_OUT,236082.62,C1935167852,41837.0,0.0,C545671169,0.0,236082.62,0.0,0.0
164.0,CASH_IN,361053.22,C914752917,19733561.9,20094615.12,C2045435399,1287051.36,925998.14,0.0,0.0
43.0,PAYMENT,20264.72,C401676538,50840.36,30575.65,M441552061,0.0,0.0,0.0,0.0
186.0,PAYMENT,6948.54,C67701075,0.0,0.0,M1709609947,0.0,0.0,0.0,0.0
15.0,CASH_OUT,39713.28,C1404885898,0.0,0.0,C1795377601,1274866.51,1314579.79,1.0,0.0
215.0,CASH_IN,35493.24,C1050825796,3190638.93,3226132.17,C1605805110,181034.38,145541.14,0.0,0.0
195.0,CASH_OUT,601657.23,C1756674752,601657.23,0.0,C1497532505,127078.82,728736.05,1.0,0.0
322.0,CASH_IN,162770.35,C695849518,3661367.95,3824138.3,C147805374,848201.78,685431.42,0.0,0.0
639.0,CASH_OUT,45890.12,C964390275,45890.12,0.0,C448797974,3851863.42,3897753.54,1.0,0.0
596.0,CASH_IN,7249.97,C1855354500,30983.0,38232.97,C1429584215,417882.83,410632.87,0.0,0.0
59.0,CASH_OUT,3904257.51,C280132554,3904257.51,0.0,C858291954,0.0,3904257.51,1.0,0.0
157.0,PAYMENT,10824.77,C1637961081,0.0,0.0,M1515102179,0.0,0.0,0.0,0.0
487.0,PAYMENT,3171.22,C2025940417,19127.0,15955.78,M404676406,0.0,0.0,0.0,0.0
39.0,CASH_OUT,221225.64,C219720282,108846.0,0.0,C901053131,48241.73,819648.24,0.0,0.0
37.0,TRANSFER,93083.27,C1904979167,93083.27,0.0,C2067685892,0.0,0.0,1.0,0.0
278.0,TRANSFER,671673.17,C930596033,0.0,0.0,C3591085,1679844.2,2351517.37,0.0,0.0
354.0,PAYMENT,19807.31,C739424592,21898.0,2090.69,M1283315733,0.0,0.0,0.0,0.0
259.0,TRANSFER,32667.38,C1165929439,309.0,0.0,C2133243746,1660544.21,1693211.58,0.0,0.0
18.0,CASH_OUT,232795.06,C1629402074,64940.0,0.0,C68380121,2067160.65,2327848.8,0.0,0.0
650.0,CASH_OUT,230652.43,C821616305,230652.43,0.0,C1559145787,55063.86,285716.3,1.0,0.0
154.0,CASH_OUT,422199.7,C1770269107,185.0,0.0,C762473858,370759.4,792959.11,0.0,0.0
346.0,PAYMENT,16463.07,C840500859,0.0,0.0,M1658988044,0.0,0.0,0.0,0.0
254.0,CASH_OUT,10789.0,C1424387,10789.0,0.0,C2022734417,67807.87,78596.87,1.0,0.0
25.0,PAYMENT,2076.07,C779182012,0.0,0.0,M868525003,0.0,0.0,0.0,0.0
310.0,PAYMENT,19570.99,C1797825167,11634.0,0.0,M1949519743,0.0,0.0,0.0,0.0
36.0,CASH_OUT,301670.28,C636185272,0.0,0.0,C1391056325,1788024.85,2089695.13,0.0,0.0
206.0,PAYMENT,16202.47,C1914358075,180174.19,163971.72,M306911811,0.0,0.0,0.0,0.0
9.0,PAYMENT,4053.35,C894688105,496398.0,492344.65,M1147362196,0.0,0.0,0.0,0.0
354.0,TRANSFER,375419.35,C634556474,375419.35,0.0,C1581571123,0.0,0.0,1.0,0.0
572.0,CASH_OUT,2000718.2,C1426906570,2000718.2,0.0,C154319946,10984451.39,12985169.59,1.0,0.0
404.0,TRANSFER,10000000.0,C2023224715,12754759.04,2754759.04,C1730830963,0.0,0.0,1.0,0.0
11.0,CASH_OUT,431614.38,C1885973625,20231.0,0.0,C604159813,45161.0,594731.95,0.0,0.0
317.0,CASH_OUT,681007.64,C1824809477,681007.64,0.0,C1850161112,660790.68,1341798.32,1.0,0.0
285.0,CASH_IN,94840.64,C1492707137,2675444.66,2770285.31,C1198379760,136368.07,41527.43,0.0,0.0
48.0,CASH_OUT,1215297.01,C274359236,1215297.01,0.0,C1653022223,2497294.92,3712591.93,1.0,0.0
230.0,CASH_IN,37941.41,C1911512947,4153409.95,4191351.36,C451616491,178314.13,140372.72,0.0,0.0
136.0,PAYMENT,86.3,C1596546662,518840.0,518753.7,M1447403872,0.0,0.0,0.0,0.0
203.0,PAYMENT,5194.61,C1930106322,11535.0,6340.39,M177030952,0.0,0.0,0.0,0.0
154.0,PAYMENT,24472.87,C26574617,85403.0,60930.13,M1590342824,0.0,0.0,0.0,0.0
10.0,PAYMENT,16604.78,C1933769996,85063.07,68458.3,M269396471,0.0,0.0,0.0,0.0
27.0,CASH_OUT,496128.26,C705152518,496128.26,0.0,C741210093,465770.07,961898.33,1.0,0.0
213.0,PAYMENT,7691.77,C1221798548,14617.0,6925.23,M29346259,0.0,0.0,0.0,0.0
267.0,TRANSFER,1259972.05,C1376942715,1259972.05,0.0,C2065571407,0.0,0.0,1.0,0.0
431.0,PAYMENT,993.53,C524822764,3475.0,2481.47,M1685543668,0.0,0.0,0.0,0.0
15.0,PAYMENT,6838.42,C1806542164,30899.0,24060.58,M1445010789,0.0,0.0,0.0,0.0
303.0,CASH_OUT,419614.98,C1177455471,1454.0,0.0,C550060324,0.0,419614.98,0.0,0.0
301.0,CASH_OUT,180591.41,C1518729725,145989.0,0.0,C1439160533,1266384.0,1446975.42,0.0,0.0
203.0,PAYMENT,5119.04,C1006281120,0.0,0.0,M1076259073,0.0,0.0,0.0,0.0
194.0,TRANSFER,2942177.94,C1416798021,2942177.94,0.0,C1082370517,0.0,0.0,1.0,0.0
307.0,CASH_OUT,149988.87,C1543242261,302191.0,152202.13,C1014674197,0.0,149988.87,0.0,0.0
347.0,PAYMENT,28695.16,C1925128361,0.0,0.0,M98561665,0.0,0.0,0.0,0.0
416.0,TRANSFER,79076.14,C1720013416,79076.14,0.0,C431840204,0.0,0.0,1.0,0.0
65.0,CASH_OUT,215.83,C1831520820,215.83,0.0,C331175512,3563442.24,3563658.07,1.0,0.0
8.0,PAYMENT,3592.16,C1821137331,0.0,0.0,M346239013,0.0,0.0,0.0,0.0
10.0,CASH_IN,362790.54,C348963037,5037806.44,5400596.97,C536421137,4328135.92,4337272.39,0.0,0.0
475.0,CASH_OUT,20111.45,C1538717187,20111.45,0.0,C685749303,1431418.64,1451530.08,1.0,0.0
138.0,CASH_OUT,208422.96,C1576417810,0.0,0.0,C1139970172,1010209.22,1218632.17,0.0,0.0
301.0,PAYMENT,15831.48,C1649371444,0.0,0.0,M2017251383,0.0,0.0,0.0,0.0
234.0,CASH_IN,107753.77,C221456229,20775.0,128528.77,C1722762680,1306288.33,1198534.56,0.0,0.0
181.0,PAYMENT,3825.13,C688786403,775022.72,771197.59,M1080911493,0.0,0.0,0.0,0.0
378.0,PAYMENT,17090.53,C499358806,50175.57,33085.04,M647589797,0.0,0.0,0.0,0.0
640.0,CASH_OUT,87698.36,C1218269262,87698.36,0.0,C559467589,237454.49,325152.85,1.0,0.0
35.0,TRANSFER,405787.05,C1259290497,21138.0,0.0,C1655964591,0.0,405787.05,0.0,0.0
187.0,CASH_IN,158308.88,C212529051,2073471.72,2231780.6,C1325366655,3844304.7,3685995.82,0.0,0.0
727.0,CASH_OUT,69039.64,C1130163945,69039.64,0.0,C1975233272,983882.79,1052922.43,1.0,0.0
